track_id,start_time,last_seen,duration_sec,pose_class
162,1755188961.6675231,1755189332.2464042,370.57888102531433,unknown
163,1755188962.988741,1755189141.35224,178.3634991645813,unknown
164,1755188962.988741,1755190197.0057995,1234.0170586109161,unknown
167,1755188970.9382834,1755190146.5411127,1175.6028292179108,unknown
168,1755188979.2705436,1755189029.030662,49.76011848449707,unknown
170,1755188993.4088888,1755189092.9561367,99.54724788665771,unknown
172,1755189007.1986802,1755190197.0057995,1189.8071193695068,standing
175,1755189024.4995382,1755189218.1976454,193.69810724258423,unknown
176,1755189039.258722,1755189102.3685803,63.10985827445984,unknown
177,1755189050.3801928,1755189375.1610947,324.7809019088745,unknown
182,1755189089.2582252,1755189507.7659078,418.5076825618744,unknown
183,1755189096.5866055,1755189159.017694,62.4310884475708,unknown
185,1755189111.8342679,1755189691.8507826,580.0165147781372,unknown
186,1755189119.4504325,1755189233.0135372,113.5631046295166,unknown
189,1755189132.3647144,1755189379.9597185,247.59500408172607,unknown
191,1755189152.204802,1755189218.1976454,65.99284338951111,unknown
194,1755189165.593628,1755189653.5887642,487.9951362609863,unknown
197,1755189213.757104,1755190157.1199043,943.362800359726,unknown
202,1755189226.5324633,1755189348.7889755,122.25651216506958,unknown
204,1755189230.6614847,1755190170.5180354,939.856550693512,unknown
207,1755189248.1913764,1755189314.9930036,66.80162715911865,unknown
208,1755189270.8175268,1755190197.0057995,926.1882727146149,unknown
209,1755189290.2219453,1755189366.133246,75.91130065917969,unknown
213,1755189323.4602108,1755189396.4305215,72.9703106880188,unknown
214,1755189327.782187,1755189393.7964923,66.01430535316467,unknown
217,1755189357.287027,1755189547.1435816,189.8565547466278,unknown
218,1755189359.4640498,1755189507.7659078,148.30185794830322,unknown
219,1755189370.6183298,1755190197.0057995,826.3874697685242,unknown
220,1755189375.1610947,1755189794.8495271,419.68843245506287,unknown
221,1755189379.9597185,1755190102.5736086,722.613890171051,unknown
222,1755189405.4836967,1755189478.4820893,72.9983925819397,unknown
225,1755189423.9120443,1755189675.616244,251.7041997909546,unknown
228,1755189432.9474235,1755189536.739894,103.79247045516968,unknown
234,1755189449.0472796,1755189682.8199062,233.77262663841248,unknown
236,1755189461.8112133,1755190170.5180354,708.7068221569061,unknown
238,1755189475.6258273,1755189656.153504,180.52767658233643,unknown
240,1755189521.1469066,1755189685.260871,164.11396431922913,unknown
243,1755189561.5319722,1755189645.8653357,84.33336353302002,unknown
244,1755189561.5319722,1755190018.1625035,456.63053131103516,unknown
245,1755189564.6327493,1755189830.541029,265.9082796573639,unknown
249,1755189614.4262192,1755190183.087758,568.6615388393402,unknown
252,1755189645.8653357,1755189791.497983,145.63264727592468,unknown
253,1755189661.1667073,1755190038.12669,376.9599826335907,unknown
259,1755189705.1731272,1755190161.010329,455.837201833725,unknown
260,1755189707.6290214,1755189810.0863135,102.45729207992554,unknown
261,1755189707.6290214,1755189996.6259413,288.9969198703766,unknown
264,1755189733.3357856,1755189993.3513288,260.01554322242737,unknown
267,1755189743.246495,1755190197.0057995,453.759304523468,unknown
270,1755189764.7728045,1755189854.1591232,89.38631868362427,unknown
272,1755189779.177862,1755190089.2466695,310.0688076019287,unknown
273,1755189785.220317,1755190197.0057995,411.7854826450348,unknown
275,1755189785.220317,1755189957.0847895,171.86447262763977,unknown
276,1755189788.3083718,1755189878.7694192,90.46104741096497,unknown
279,1755189854.1591232,1755189973.081437,118.92231392860413,unknown
280,1755189863.551465,1755189966.7697482,103.21828317642212,unknown
281,1755189903.6791341,1755190197.0057995,293.32666540145874,unknown
285,1755189934.7897162,1755190038.12669,103.33697366714478,unknown
289,1755189953.7674594,1755190058.5927615,104.82530212402344,unknown
291,1755189966.7697482,1755190075.7932773,109.02352905273438,unknown
293,1755189973.081437,1755190197.0057995,223.92436242103577,unknown
294,1755189979.5975673,1755190079.4160147,99.81844735145569,unknown
295,1755189982.8973467,1755190189.9722562,207.07490944862366,unknown
300,1755190011.7893262,1755190151.5604517,139.77112555503845,unknown
301,1755190011.7893262,1755190197.0057995,185.21647334098816,unknown
302,1755190021.437695,1755190197.0057995,175.56810450553894,unknown
305,1755190034.6341634,1755190155.181918,120.5477545261383,unknown
308,1755190047.9701333,1755190197.0057995,149.0356662273407,unknown
309,1755190051.3153942,1755190157.1199043,105.80451011657715,unknown
310,1755190054.7466724,1755190197.0057995,142.25912714004517,unknown
314,1755190072.207615,1755190197.0057995,124.798184633255,unknown
316,1755190085.9647424,1755190197.0057995,111.04105710983276,unknown
317,1755190099.2216113,1755190185.3702295,86.14861822128296,unknown
318,1755190105.9258437,1755190197.0057995,91.07995581626892,unknown
320,1755190119.9983478,1755190197.0057995,77.00745177268982,unknown
324,1755190153.2040787,1755190197.0057995,43.80172085762024,unknown
325,1755190153.2040787,1755190197.0057995,43.80172085762024,unknown
328,1755190178.1117246,1755190197.0057995,18.8940749168396,unknown
329,1755190181.3891847,1755190197.0057995,15.616614818572998,unknown
331,1755190193.2753658,1755190197.0057995,3.730433702468872,unknown
332,1755190193.2753658,1755190197.0057995,3.730433702468872,standing
333,1755190193.2753658,1755190197.0057995,3.730433702468872,standing
334,1755190193.2753658,1755190197.0057995,3.730433702468872,standing
335,1755190193.2753658,1755190197.0057995,3.730433702468872,unknown
338,1755190193.2753658,1755190197.0057995,3.730433702468872,unknown
339,1755190193.2753658,1755190197.0057995,3.730433702468872,standing
343,1755190197.0057995,1755190197.0057995,0.0,standing
344,1755190197.0057995,1755190197.0057995,0.0,standing
